,ActivePower,WindSpeed,Temperature
2019-01-16 21:00:00+00:00,65.3781,3.7370,23.1939
2019-01-16 22:00:00+00:00,43.9814,3.5447,22.8128
2019-01-16 23:00:00+00:00,208.1566,4.7772,22.1527
2019-01-17 00:00:00+00:00,356.8901,5.8861,21.3962
2019-01-17 01:00:00+00:00,303.2493,5.5367,21.0688
2019-01-17 02:00:00+00:00,157.4871,4.3916,21.7254
2019-01-17 03:00:00+00:00,63.9774,3.5797,23.0340
2019-01-17 04:00:00+00:00,146.9888,4.1041,24.5895
2019-01-17 05:00:00+00:00,226.7008,4.6192,25.9483
2019-01-17 06:00:00+00:00,152.0646,4.1085,27.5163
2019-01-17 07:00:00+00:00,195.7181,4.5389,28.6632
2019-01-17 08:00:00+00:00,137.0110,4.2198,29.3733
2019-01-17 09:00:00+00:00,153.9482,4.1530,29.8348
2019-01-17 10:00:00+00:00,168.6095,4.3509,29.9382
2019-01-17 11:00:00+00:00,152.3208,4.1921,29.7052
2019-01-17 12:00:00+00:00,96.1748,3.9148,28.9739
2019-01-17 13:00:00+00:00,322.2485,5.3592,27.8178
2019-01-17 14:00:00+00:00,548.9833,6.4412,26.7783
2019-01-17 15:00:00+00:00,617.5206,6.6005,25.9402
2019-01-17 16:00:00+00:00,1127.6440,8.0762,24.5524
2019-01-17 17:00:00+00:00,988.3719,7.7672,23.6326
2019-01-17 18:00:00+00:00,1599.8897,8.6094,23.0341
2019-01-17 19:00:00+00:00,1629.2191,8.8400,22.6756
2019-01-17 20:00:00+00:00,925.7172,7.0834,22.3238
2019-01-17 21:00:00+00:00,466.1374,6.1034,21.6566
2019-01-17 22:00:00+00:00,385.7969,5.7738,21.0774
2019-01-17 23:00:00+00:00,339.4521,5.7609,21.0326
2019-01-18 00:00:00+00:00,268.0308,5.2770,20.8542
2019-01-18 01:00:00+00:00,245.5352,5.1883,20.5336
2019-01-18 02:00:00+00:00,97.2104,3.9428,21.3597
2019-01-18 03:00:00+00:00,20.9860,3.3928,22.7107
2019-01-18 04:00:00+00:00,45.7147,3.4976,24.1907
2019-01-18 05:00:00+00:00,18.4786,3.4408,25.8688
2019-01-18 06:00:00+00:00,47.2835,3.7112,27.1164
2019-01-18 07:00:00+00:00,21.4420,3.3633,28.6015
